gene_symbol	Gene.ID
A3GALT2	ENSG00000184389
AADAT	ENSG00000109576
AAMP	ENSG00000127837
ABCA1	ENSG00000165029
ABCA2	ENSG00000107331
ABCB7	ENSG00000131269
ABCC6	ENSG00000091262
ABCC8	ENSG00000006071
ABCC9	ENSG00000069431
ABCD1	ENSG00000101986
ABCD3	ENSG00000117528
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABCF2	ENSG00000033050
ABCG4	ENSG00000172350
ABHD15	ENSG00000168792
ABHD16A	ENSG00000204427
ABHD17B	ENSG00000107362
ABHD17C	ENSG00000136379
ABHD2	ENSG00000140526
ABHD8	ENSG00000127220
ABI2	ENSG00000138443
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABR	ENSG00000159842
ABTB2	ENSG00000166016
ACACA	ENSG00000132142
ACAP2	ENSG00000114331
ACBD3	ENSG00000182827
ACBD5	ENSG00000107897
ACD	ENSG00000102977
ACER3	ENSG00000078124
ACHE	ENSG00000087085
ACIN1	ENSG00000100813
ACLY	ENSG00000131473
ACO2	ENSG00000100412
ACOT7	ENSG00000097021
ACOX1	ENSG00000161533
ACSL3	ENSG00000123983
ACSL4	ENSG00000068366
ACSM2A	ENSG00000183747
ACSM2B	ENSG00000066813
ACSS1	ENSG00000154930
ACSS2	ENSG00000131069
ACTA2	ENSG00000107796
ACTB	ENSG00000075624
ACTC1	ENSG00000159251
ACTG2	ENSG00000163017
ACTL6A	ENSG00000136518
ACTL6B	ENSG00000077080
ACTN1	ENSG00000072110
ACTN2	ENSG00000077522
ACTN4	ENSG00000130402
ACTR1A	ENSG00000138107
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACTR3B	ENSG00000133627
ACTR3C	ENSG00000106526
ACTR5	ENSG00000101442
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACVRL1	ENSG00000139567
ADAM10	ENSG00000137845
ADAM11	ENSG00000073670
ADAM23	ENSG00000114948
ADAM33	ENSG00000149451
ADAMTS10	ENSG00000142303
ADAMTS15	ENSG00000166106
ADAMTS19	ENSG00000145808
ADAMTS7	ENSG00000136378
ADAR	ENSG00000160710
ADARB1	ENSG00000197381
ADARB2	ENSG00000185736
ADCY1	ENSG00000164742
ADCY2	ENSG00000078295
ADCY3	ENSG00000138031
ADCY5	ENSG00000173175
ADCY6	ENSG00000174233
ADCYAP1	ENSG00000141433
ADIPOR1	ENSG00000159346
ADIPOR2	ENSG00000006831
ADO	ENSG00000181915
ADORA1	ENSG00000163485
ADRA1B	ENSG00000170214
ADRB3	ENSG00000188778
ADRBK1	ENSG00000173020
ADRM1	ENSG00000130706
ADSS	ENSG00000035687
AEBP2	ENSG00000139154
AES	ENSG00000104964
AFF2	ENSG00000155966
AFF3	ENSG00000144218
AFF4	ENSG00000072364
AFG3L2	ENSG00000141385
AGAP2	ENSG00000135439
AGAP3	ENSG00000133612
AGBL5	ENSG00000084693
AGFG1	ENSG00000173744
AGO1	ENSG00000092847
AGO2	ENSG00000123908
AGO3	ENSG00000126070
AGO4	ENSG00000134698
AGPAT1	ENSG00000204310
AGPAT3	ENSG00000160216
AGPAT4	ENSG00000026652
AGPAT6	ENSG00000158669
AGPS	ENSG00000018510
